nct_id,sponsor_raw,drug_raw,phase,status,condition,start_date,completion_date,sponsor_key,drug_key,ticker,generic_name,brand_name,manufacturer_name,route,product_type,is_public_pharma,sponsor_type
NCT04722133,Yonsei University,HERZUMA+mFOLFOX,PHASE2,COMPLETED,HER2 Positive Advanced/Metastatic/Nonresectable Biliary Tract Cancer,2020-06-23,2023-06-14,YONSEI UNIVERSITY,herzuma mfolfox,,,,,,,False,Academic / medical / govt
NCT03359733,"Calithera Biosciences, Inc",TAK-659,PHASE1,WITHDRAWN,"Lymphoma, Malignant; Advanced Solid Neoplasms",2018-02-28,2019-08-20,CALITHERA BIOSCIENCES,tak-659,,,,,,,False,"Other (biotech, private, etc.)"
NCT01488552,Pancreatic Cancer Research Team,Gemcitabine,PHASE1,COMPLETED,Stage IV Pancreatic Cancer,2011-11-01,2016-08-01,PANCREATIC CANCER RESEARCH TEAM,gemcitabine,,GEMCITABINE HYDROCHLORIDE,Gemcitabine,Mylan Institutional LLC,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01488552,Pancreatic Cancer Research Team,nab-paclitaxel,PHASE1,COMPLETED,Stage IV Pancreatic Cancer,2011-11-01,2016-08-01,PANCREATIC CANCER RESEARCH TEAM,nab-paclitaxel,,,,,,,False,Academic / medical / govt
NCT01488552,Pancreatic Cancer Research Team,FOLFIRINOX,PHASE1,COMPLETED,Stage IV Pancreatic Cancer,2011-11-01,2016-08-01,PANCREATIC CANCER RESEARCH TEAM,folfirinox,,,,,,,False,Academic / medical / govt
NCT01488552,Pancreatic Cancer Research Team,Metformin,PHASE1,COMPLETED,Stage IV Pancreatic Cancer,2011-11-01,2016-08-01,PANCREATIC CANCER RESEARCH TEAM,metformin,,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,ZITUVIMET,Zydus Lifesciences Limited,ORAL,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01488552,Pancreatic Cancer Research Team,mFOLFIRI,PHASE1,COMPLETED,Stage IV Pancreatic Cancer,2011-11-01,2016-08-01,PANCREATIC CANCER RESEARCH TEAM,mfolfiri,,,,,,,False,Academic / medical / govt
NCT03944252,Gruppo Oncologico del Nord-Ovest,Avelumab,PHASE2,UNKNOWN,Squamous Cell Anal Carcinoma,2018-09-18,2022-02-01,GRUPPO ONCOLOGI DEL NORD OVEST,avelumab,,AVELUMAB,BAVENCIO,"EMD Serono, Inc.",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT03944252,Gruppo Oncologico del Nord-Ovest,Cetuximab,PHASE2,UNKNOWN,Squamous Cell Anal Carcinoma,2018-09-18,2022-02-01,GRUPPO ONCOLOGI DEL NORD OVEST,cetuximab,,CETUXIMAB,ERBITUX,ImClone LLC,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT05631249,"Gustave Roussy, Cancer Campus, Grand Paris",Sotorasib 120Mg Tab,PHASE2,RECRUITING,KRAS P.G12C; Non Small Cell Lung Cancer,2022-12-13,2027-12-12,GUSTAVE ROUSSY CANCER CAMPUS GRAND PARIS,sotorasib 120mg tab,,,,,,,False,"Other (biotech, private, etc.)"
NCT03085849,Catherine Shu,Durvalumab,PHASE1,COMPLETED,Extensive-stage Small Cell Lung Cancer,2017-12-15,2018-11-26,CATHERINE SHU,durvalumab,,DURVALUMAB,IMFINZI,AstraZeneca Pharmaceuticals LP,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT03085849,Catherine Shu,Tremelimumab,PHASE1,COMPLETED,Extensive-stage Small Cell Lung Cancer,2017-12-15,2018-11-26,CATHERINE SHU,tremelimumab,,TREMELIMUMAB,IMJUDO,AstraZeneca Pharmaceuticals LP,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT03085849,Catherine Shu,SGI-110,PHASE1,COMPLETED,Extensive-stage Small Cell Lung Cancer,2017-12-15,2018-11-26,CATHERINE SHU,sgi-110,,,,,,,False,"Other (biotech, private, etc.)"
NCT07527858,Gilead Sciences,Denikitug,PHASE2,NOT_YET_RECRUITING,Advanced Microsatellite Stable Colorectal Cancer,2026-04-01,2028-12-01,GILEAD SCIENCES,denikitug,GILD,,,,,,True,Public pharma
NCT07527858,Gilead Sciences,Nivolumab,PHASE2,NOT_YET_RECRUITING,Advanced Microsatellite Stable Colorectal Cancer,2026-04-01,2028-12-01,GILEAD SCIENCES,nivolumab,GILD,NIVOLUMAB AND HYALURONIDASE-NVHY,OPDIVO QVANTIG,"E.R. Squibb & Sons, L.L.C.",SUBCUTANEOUS,HUMAN PRESCRIPTION DRUG,True,Public pharma
NCT07527858,Gilead Sciences,Bevacizumab,PHASE2,NOT_YET_RECRUITING,Advanced Microsatellite Stable Colorectal Cancer,2026-04-01,2028-12-01,GILEAD SCIENCES,bevacizumab,GILD,BEVACIZUMAB-AWWB,MVASI,"Amgen, Inc",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,True,Public pharma
NCT07527858,Gilead Sciences,Trifluridine-Tipiracil,PHASE2,NOT_YET_RECRUITING,Advanced Microsatellite Stable Colorectal Cancer,2026-04-01,2028-12-01,GILEAD SCIENCES,trifluridine-tipiracil,GILD,,,,,,True,Public pharma
NCT07481058,"Beijing Konruns Pharmaceutical Co., Ltd.",KC1036,PHASE2,RECRUITING,Esophageal Squamous Cell Carcinoma (ESCC),2025-12-12,2028-12-01,BEIJING KONRUNS PHARMACEUTICAL,kc1036,,,,,,,False,"Other (biotech, private, etc.)"
NCT07481058,"Beijing Konruns Pharmaceutical Co., Ltd.",Toripalimab,PHASE2,RECRUITING,Esophageal Squamous Cell Carcinoma (ESCC),2025-12-12,2028-12-01,BEIJING KONRUNS PHARMACEUTICAL,toripalimab,,TORIPALIMAB-TPZI,LOQTORZI,"Coherus Oncology, Inc.",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT07481058,"Beijing Konruns Pharmaceutical Co., Ltd.",Paclitaxel,PHASE2,RECRUITING,Esophageal Squamous Cell Carcinoma (ESCC),2025-12-12,2028-12-01,BEIJING KONRUNS PHARMACEUTICAL,paclitaxel,,PACLITAXEL,Paclitaxel,Alembic Pharmaceuticals Inc.,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT07481058,"Beijing Konruns Pharmaceutical Co., Ltd.",Cisplatin,PHASE2,RECRUITING,Esophageal Squamous Cell Carcinoma (ESCC),2025-12-12,2028-12-01,BEIJING KONRUNS PHARMACEUTICAL,cisplatin,,CISPLATIN,Cisplatin,Sagent Pharmaceuticals,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT05593458,Zhejiang University,Oxaliplatin by arterial infusion plus S-1,PHASE3,RECRUITING,Locally Advanced Gastric Carcinoma,2023-04-01,2026-12-01,ZHEJIANG UNIVERSITY,oxaliplatin by arterial infusion plus s-1,,,,,,,False,Academic / medical / govt
NCT05593458,Zhejiang University,SOX neoadjuvant,PHASE3,RECRUITING,Locally Advanced Gastric Carcinoma,2023-04-01,2026-12-01,ZHEJIANG UNIVERSITY,sox neoadjuvant,,,,,,,False,Academic / medical / govt
NCT05593458,Zhejiang University,Sintilimab neoadjuvant,PHASE3,RECRUITING,Locally Advanced Gastric Carcinoma,2023-04-01,2026-12-01,ZHEJIANG UNIVERSITY,sintilimab neoadjuvant,,,,,,,False,Academic / medical / govt
NCT05593458,Zhejiang University,"SOX adjuvant, Sequential S-1",PHASE3,RECRUITING,Locally Advanced Gastric Carcinoma,2023-04-01,2026-12-01,ZHEJIANG UNIVERSITY,sox adjuvant sequential s-1,,,,,,,False,Academic / medical / govt
NCT05593458,Zhejiang University,Sintilimab adjuvant,PHASE3,RECRUITING,Locally Advanced Gastric Carcinoma,2023-04-01,2026-12-01,ZHEJIANG UNIVERSITY,sintilimab adjuvant,,,,,,,False,Academic / medical / govt
NCT05911958,Henan Cancer Hospital,SHR-A1811 for injection,PHASE2,RECRUITING,HER2 Low Breast Carcinoma,2023-07-05,2029-05-31,HENAN CANCER HOSPITAL,shr-a1811 for,,,,,,,False,Academic / medical / govt
NCT00798148,Tehran University of Medical Sciences,"131I-MIBG , Etoposide, Melphalan, Carboplatin, Autologous Peripheral Stem Cell Transplantation",PHASE1,UNKNOWN,Neuroblastoma,2008-09-01,,TEHRAN UNIVERSITY OF MEDICAL SCIENCES,131i-mibg etoposide melphalan carboplatin autologous peripheral stem cell transplantation,,,,,,,False,Academic / medical / govt
NCT04970914,Peking Union Medical College Hospital,Anlotinib,PHASE2,UNKNOWN,Colorectal Cancer,2021-11-05,2023-08-23,PEKING UNION MEDICAL COLLEGE HOSPITAL,anlotinib,,,,,,,False,Academic / medical / govt
NCT04970914,Peking Union Medical College Hospital,Penpulimab,PHASE2,UNKNOWN,Colorectal Cancer,2021-11-05,2023-08-23,PEKING UNION MEDICAL COLLEGE HOSPITAL,penpulimab,,PENPULIMAB,Penpulimab kcqx,"Akeso Biopharma, Co., Ltd",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
